TransactionID,Store,Category,Date,Quantity,UnitPrice,Revenue
42747,Store_B,Electronics,1/10/2019,10,10,-50
31182,Store C,Eletronics,5/27/2019,,20,200
19415,STORE_B,Clothing,12/30/2019,3,100,500
21085,STORE_B,Electronics,9/10/2019,3,,500
25008,Store C,Electronics,28/07/2019,2,10,100
97638,Store_B,Groceries,29/06/2020,3,50,500
28452,Store C,Electronics,5/1/2019,,20,-50
74075,STORE_B,Clothing,12/6/2019,1,100,500
18120,Store_A,Eletronics,7/10/2020,1,100,100
74385,Store C,Eletronics,9/15/2020,-2,20,
83356,STORE_B,Groceries,12/5/2020,3,10,-50
28170,Store C,Clothing,11/19/2019,2,-5,
26259,STORE_B,Electronics,8/3/2020,5,20,200
32099,Store_B,Groceries,10/5/2019,,-5,100
19649,STORE_B,Home,4/5/2019,2,100,200
69258,store_a,Clothing,7/6/2020,10,100,200
51037,Store_A,Groceries,13/12/2020,5,50,200
21805,STORE_B,Eletronics,28/02/2019,,50,200
53147,Store C,Groceries,18/03/2020,10,100,100
84280,Store C,Home,7/6/2020,3,50,
56053,STORE_B,Clothing,5/10/2020,10,50,500
86215,store_a,Groceries,4/26/2019,3,50,200
20985,STORE_B,Electronics,9/23/2020,10,100,500
22391,Store_B,Clothing,13/06/2020,5,10,500
14861,store_a,Groceries,9/27/2019,10,10,200
73582,STORE_B,Groceries,10/5/2019,2,,-50
61928,Store_A,Clothing,10/18/2019,3,50,500
44364,store_a,Eletronics,27/12/2020,1,10,-50
92399,STORE_B,Electronics,1/9/2019,10,,
52923,Store_A,Clothing,9/21/2020,3,20,500
17919,STORE_B,Electronics,13/05/2019,1,50,100
65896,Store_B,Electronics,4/19/2020,3,10,
95818,Store C,Clothing,6/20/2020,-2,10,
57396,STORE_B,Groceries,11/15/2020,3,-5,-50
44840,store_a,Eletronics,31/10/2019,1,10,200
52255,STORE_B,Electronics,9/4/2020,1,-5,100
81160,STORE_B,Electronics,15/02/2019,5,,100
18176,STORE_B,Groceries,11/9/2020,,-5,-50
43529,STORE_B,Clothing,8/17/2020,-2,20,-50
66406,store_a,Eletronics,10/3/2019,10,50,
22941,store_a,Electronics,1/5/2020,10,10,-50
11669,STORE_B,Electronics,12/11/2019,-2,100,200
95782,Store C,Clothing,1/3/2020,3,50,
54859,STORE_B,Groceries,26/08/2020,-2,100,
65786,store_a,Home,12/31/2020,2,,
61083,Store_B,Groceries,1/15/2019,2,10,100
50076,STORE_B,Electronics,27/01/2019,,50,100
30323,STORE_B,Electronics,11/18/2020,3,50,
16021,STORE_B,Eletronics,1/4/2019,5,10,200
49807,STORE_B,Groceries,30/10/2020,1,20,500
60355,Store_A,Home,23/10/2020,3,,
54732,STORE_B,Eletronics,6/16/2020,10,10,-50
18711,store_a,Home,12/9/2019,2,-5,500
73079,store_a,Eletronics,5/3/2020,2,50,100
17904,Store_A,Groceries,13/04/2019,2,20,100
74033,STORE_B,Electronics,12/29/2019,5,50,500
96478,Store C,Home,23/05/2020,10,100,-50
99787,STORE_B,Groceries,22/10/2020,5,50,100
65096,store_a,Home,4/27/2019,1,,100
13093,Store_B,Groceries,16/04/2020,3,10,
34918,Store_B,Eletronics,22/06/2020,3,50,200
82743,Store C,Groceries,5/8/2019,-2,-5,-50
72636,STORE_B,Eletronics,12/10/2020,2,100,
68806,Store_A,Electronics,3/19/2019,-2,100,200
19394,STORE_B,Eletronics,10/1/2019,2,10,100
23280,Store C,Clothing,8/8/2020,1,100,200
46303,Store C,Electronics,12/2/2019,5,10,100
37453,Store C,Groceries,3/23/2019,,,
70695,Store_B,Groceries,12/8/2019,,10,100
78449,STORE_B,Clothing,22/09/2020,,20,200
35765,STORE_B,Groceries,29/03/2019,10,100,
12340,Store_A,Electronics,7/31/2020,1,100,200
48057,Store C,Electronics,4/6/2019,3,-5,200
10597,Store C,Eletronics,13/03/2020,3,50,500
67988,store_a,Home,7/30/2020,5,20,100
25025,store_a,Groceries,6/4/2020,-2,50,100
17145,Store_B,Clothing,20/11/2020,1,10,200
65797,STORE_B,Electronics,22/09/2019,10,,100
51723,Store_A,Electronics,12/23/2019,1,-5,-50
83230,Store_A,Electronics,7/5/2019,1,100,100
14830,Store C,Home,6/26/2020,5,,
33930,Store_A,Home,5/31/2019,10,10,100
33752,Store C,Groceries,3/9/2020,,10,-50
86025,STORE_B,Clothing,18/12/2019,3,20,200
91304,Store_A,Home,1/10/2019,2,50,100
72040,Store C,Eletronics,6/5/2019,-2,100,
77696,STORE_B,Home,21/02/2020,,100,-50
74648,STORE_B,Electronics,12/22/2019,10,,500
65030,Store C,Clothing,30/09/2020,3,20,200
66815,Store C,Groceries,4/3/2019,,-5,200
95669,Store_B,Home,8/25/2019,5,10,200
45690,STORE_B,Electronics,11/29/2019,-2,20,-50
98406,Store C,Eletronics,1/17/2019,10,100,100
67923,STORE_B,Eletronics,17/12/2020,10,-5,100
46572,Store_A,Groceries,11/20/2019,3,50,100
64030,store_a,Groceries,1/23/2019,3,,100
77904,store_a,Home,19/07/2019,1,10,200
39203,Store C,Groceries,4/3/2020,1,10,500
87088,Store C,Electronics,6/4/2020,10,10,200
15608,STORE_B,Electronics,12/19/2020,2,50,500
55667,Store C,Electronics,7/10/2020,5,100,500
65547,STORE_B,Home,14/12/2020,3,100,100
32485,Store C,Home,2/7/2020,1,20,
19862,STORE_B,Groceries,15/09/2020,5,-5,-50
85948,Store C,Home,4/1/2020,-2,20,
96890,Store_B,Electronics,16/11/2019,,100,500
81880,STORE_B,Clothing,2/1/2020,,10,
67560,Store_B,Electronics,25/04/2020,10,50,500
93529,Store_B,Clothing,5/20/2019,3,100,200
38415,Store_B,Groceries,6/4/2020,,50,200
74523,Store_B,Eletronics,15/01/2019,-2,,100
29323,Store_A,Home,4/2/2019,3,10,-50
63214,store_a,Home,3/18/2019,1,,200
27997,Store_A,Electronics,1/5/2019,,100,-50
67003,Store C,Electronics,20/06/2020,2,20,100
13679,Store C,Clothing,24/04/2019,,100,-50
50308,store_a,Home,10/28/2020,3,,200
85024,store_a,Groceries,16/08/2019,2,50,200
49842,store_a,Electronics,15/09/2019,5,-5,
75408,Store_B,Home,7/3/2019,,-5,
79532,Store_A,Eletronics,3/29/2019,3,100,
63938,Store C,Clothing,3/7/2019,,20,-50
15695,Store_A,Electronics,9/8/2020,,,200
68499,Store_A,Electronics,4/5/2019,3,100,100
33382,Store_A,Groceries,29/06/2020,2,,500
24235,store_a,Electronics,7/4/2020,1,,200
72223,store_a,Home,2/3/2020,-2,10,
12366,Store C,Home,5/2/2019,,-5,
37467,Store C,Home,13/12/2019,10,-5,-50
69316,Store C,Eletronics,8/31/2019,5,50,
16764,Store_A,Eletronics,7/2/2020,3,10,-50
71836,store_a,Electronics,9/15/2020,,-5,100
41923,Store_B,Eletronics,12/1/2020,-2,,
26292,Store_A,Eletronics,28/05/2020,1,20,-50
11614,STORE_B,Groceries,7/17/2020,3,20,
30939,Store_A,Eletronics,6/11/2019,,10,-50
28800,store_a,Clothing,2/4/2019,5,20,200
66440,STORE_B,Clothing,23/08/2019,10,,-50
33246,Store_A,Clothing,2/6/2019,3,100,500
62805,store_a,Electronics,25/04/2019,,,100
59648,store_a,Home,8/4/2019,2,-5,200
66851,Store_B,Groceries,9/14/2020,1,100,100
41688,Store_A,Electronics,24/10/2020,10,20,200
39764,store_a,Home,14/04/2020,3,50,
42470,Store C,Groceries,6/4/2020,,50,-50
48501,store_a,Groceries,21/07/2020,10,,
67207,Store_B,Groceries,4/15/2019,2,,100
72157,store_a,Clothing,6/5/2019,3,20,100
13216,Store_A,Clothing,12/2/2019,10,50,200
32072,Store_A,Clothing,15/11/2019,3,50,100
47132,STORE_B,Groceries,10/23/2019,3,,-50
27861,Store_A,Groceries,9/10/2020,10,-5,100
74186,STORE_B,Clothing,4/6/2019,3,50,
14960,Store C,Groceries,3/10/2019,2,,-50
28781,Store_B,Clothing,11/9/2020,10,10,100
41126,Store C,Clothing,5/31/2019,,50,500
32578,STORE_B,Clothing,6/5/2019,-2,100,500
27883,store_a,Home,7/30/2020,10,20,
39782,store_a,Groceries,10/23/2020,2,,200
66387,Store C,Electronics,4/9/2020,2,50,200
26979,store_a,Clothing,26/01/2019,2,50,100
43746,STORE_B,Electronics,3/27/2020,,-5,-50
76266,Store_B,Home,7/23/2020,,,200
10056,Store_A,Groceries,9/2/2020,-2,100,500
41457,STORE_B,Clothing,9/26/2020,-2,50,200
12243,STORE_B,Clothing,12/28/2019,3,10,500
65031,Store_A,Clothing,7/22/2019,3,20,200
11701,Store_A,Electronics,5/1/2020,5,,
66381,Store_B,Home,1/4/2019,-2,50,-50
60438,Store_B,Groceries,26/02/2020,-2,-5,100
83839,Store_B,Home,15/11/2019,3,-5,500
90636,store_a,Clothing,11/3/2019,2,20,200
76483,STORE_B,Home,3/9/2019,5,,100
30505,Store_A,Electronics,1/27/2019,-2,,500
16553,STORE_B,Eletronics,1/12/2019,2,,500
43525,STORE_B,Eletronics,22/08/2019,1,100,
90402,Store_B,Groceries,3/5/2019,-2,10,200
54348,Store_B,Groceries,14/11/2019,,-5,100
81187,STORE_B,Home,3/13/2019,10,,200
17273,Store_B,Groceries,18/06/2019,1,100,200
74236,store_a,Electronics,9/25/2019,,,-50
85569,Store_A,Clothing,4/5/2019,,,500
13535,STORE_B,Clothing,1/30/2020,2,100,500
28677,Store_A,Home,18/05/2019,3,10,-50
93024,store_a,Clothing,12/30/2019,10,20,-50
10908,Store_B,Home,30/08/2020,3,-5,200
80153,Store C,Groceries,4/27/2019,3,50,500
98989,store_a,Groceries,6/13/2019,-2,,100
45079,Store C,Electronics,26/05/2019,10,10,
91556,Store_A,Clothing,28/02/2019,10,-5,-50
59323,STORE_B,Electronics,7/30/2020,1,50,100
55320,Store_B,Eletronics,11/2/2019,2,,100
99909,store_a,Electronics,10/2/2019,3,50,200
56105,Store_B,Home,7/19/2019,2,100,-50
40164,Store C,Home,6/29/2019,2,-5,100
11885,Store C,Electronics,12/24/2019,-2,10,
67819,STORE_B,Groceries,9/1/2019,5,10,100
11049,Store C,Eletronics,28/06/2020,1,-5,
63281,STORE_B,Electronics,14/08/2020,3,20,
53271,store_a,Groceries,3/5/2020,,20,
76697,STORE_B,Electronics,24/10/2019,10,50,-50
76351,Store C,Clothing,10/14/2020,10,100,
46534,Store_A,Home,11/8/2020,2,50,-50
68097,STORE_B,Clothing,9/11/2019,1,,100
63813,Store_B,Clothing,29/07/2019,1,10,
35037,Store_A,Eletronics,24/01/2020,3,50,500
46007,STORE_B,Groceries,6/16/2019,3,50,100
89478,Store_B,Home,15/09/2020,2,-5,500
37278,Store_A,Clothing,22/08/2019,2,10,500
18272,STORE_B,Home,3/5/2019,2,10,200
67183,store_a,Groceries,21/12/2019,5,20,-50
48294,Store_B,Electronics,6/23/2019,1,20,200
83277,store_a,Clothing,29/06/2020,2,10,-50
72509,Store C,Groceries,9/15/2020,-2,50,200
14694,STORE_B,Home,22/05/2020,1,,100
68150,STORE_B,Groceries,15/06/2020,,50,500
77470,Store_B,Electronics,2/19/2020,10,,100
31556,STORE_B,Groceries,8/1/2019,10,10,-50
74471,Store C,Home,11/5/2020,1,-5,500
59855,STORE_B,Clothing,5/6/2019,,,500
59086,Store_A,Clothing,29/07/2019,10,20,-50
28907,store_a,Eletronics,9/10/2019,10,-5,100
81695,Store C,Home,7/16/2019,10,10,500
58487,Store C,Eletronics,2/17/2020,3,100,100
39158,store_a,Eletronics,14/02/2019,,,100
30293,store_a,Electronics,13/12/2019,3,,100
55761,Store C,Home,23/09/2020,1,-5,500
43387,store_a,Clothing,13/10/2020,1,100,
50750,Store_B,Home,19/03/2020,5,100,200
78602,store_a,Electronics,28/01/2020,3,10,-50
31256,Store_A,Home,8/22/2019,1,-5,100
15594,Store_A,Home,21/12/2019,3,50,500
12460,Store_B,Eletronics,7/15/2019,5,100,-50
82356,store_a,Home,6/25/2020,1,,
64698,Store_A,Eletronics,3/2/2020,1,100,
26191,STORE_B,Eletronics,10/22/2019,1,10,500
94631,store_a,Groceries,10/6/2020,1,10,100
20529,Store_B,Electronics,6/5/2019,2,,
42175,store_a,Eletronics,2/10/2020,,,
27675,Store C,Home,14/06/2019,,,
53158,Store C,Eletronics,12/26/2020,3,50,500
56798,Store_A,Eletronics,7/1/2019,3,,-50
80910,Store C,Eletronics,7/3/2019,3,-5,200
35976,Store_B,Clothing,7/7/2020,5,10,500
73116,Store_A,Clothing,1/10/2020,-2,10,100
88678,Store_B,Clothing,3/30/2020,2,100,500
72821,Store_B,Clothing,7/21/2019,-2,,500
22204,Store C,Groceries,24/04/2020,3,50,200
65665,Store C,Eletronics,3/5/2019,3,-5,200
17394,Store_B,Groceries,12/24/2020,1,20,200
74814,Store C,Home,22/10/2020,-2,100,-50
43593,Store C,Electronics,12/6/2019,1,-5,500
51964,Store C,Groceries,9/19/2019,-2,50,100
87188,store_a,Clothing,6/26/2020,-2,,200
63365,Store_B,Clothing,7/4/2020,1,50,200
10443,STORE_B,Home,21/08/2020,3,20,500
99439,Store_B,Eletronics,9/29/2020,1,-5,100
38180,Store_A,Electronics,6/14/2019,3,50,200
58791,Store C,Groceries,27/01/2019,-2,20,500
96655,Store C,Eletronics,9/12/2020,5,20,
85899,STORE_B,Eletronics,16/01/2020,5,-5,-50
53665,Store_A,Groceries,7/5/2020,10,20,500
13465,store_a,Groceries,17/07/2020,2,-5,200
78247,Store_B,Groceries,2/20/2019,1,50,100
61559,store_a,Groceries,5/3/2020,,,
35198,Store_A,Clothing,7/17/2019,1,10,100
64740,STORE_B,Eletronics,12/11/2019,2,10,100
32488,Store_A,Eletronics,10/26/2020,-2,50,100
48515,STORE_B,Clothing,30/05/2020,2,,500
99144,store_a,Eletronics,28/05/2020,-2,10,500
37898,store_a,Groceries,10/24/2020,10,20,-50
11919,Store_A,Electronics,9/23/2019,2,50,
60070,Store_A,Eletronics,3/14/2019,3,50,100
72613,Store C,Electronics,3/18/2019,1,100,200
96135,STORE_B,Electronics,6/27/2020,2,100,100
92501,Store C,Clothing,30/05/2019,3,100,
57003,Store_B,Home,3/10/2020,2,-5,100
58478,Store_B,Eletronics,24/12/2019,,,500
24434,Store_A,Clothing,12/23/2019,3,50,500
56246,store_a,Clothing,24/07/2019,5,100,
46649,Store_B,Electronics,1/18/2019,3,50,-50
69030,Store_B,Eletronics,11/6/2020,10,20,100
63061,Store C,Clothing,7/28/2020,-2,100,
11999,Store C,Groceries,20/01/2019,3,50,200
24849,Store_B,Clothing,29/12/2020,2,,200
86439,Store_A,Groceries,22/09/2019,5,-5,-50
62800,Store C,Home,29/10/2019,5,,500
15445,Store_B,Groceries,9/23/2020,3,,
28040,store_a,Groceries,2/10/2020,2,100,100
74315,Store C,Electronics,1/7/2020,5,,
10246,Store_B,Clothing,27/08/2019,,-5,-50
41153,STORE_B,Home,12/4/2020,3,10,
15212,Store C,Clothing,27/02/2020,3,-5,-50
13339,STORE_B,Groceries,8/8/2020,-2,20,-50
98678,Store C,Groceries,12/19/2019,3,-5,-50
66238,Store C,Clothing,8/12/2019,5,50,
29394,STORE_B,Home,11/8/2019,1,10,200
63871,Store_A,Home,1/3/2020,2,100,100
87722,Store_B,Electronics,18/01/2020,10,50,-50
44607,Store_A,Groceries,10/17/2020,10,-5,500
62055,Store_A,Groceries,31/12/2019,2,50,-50
14395,Store_B,Electronics,3/8/2020,1,,
25290,store_a,Clothing,2/10/2020,-2,50,-50
97687,Store_A,Groceries,9/7/2020,-2,50,500
75078,Store_A,Clothing,17/07/2020,-2,-5,200
13691,Store_A,Home,5/23/2020,-2,20,
17470,store_a,Eletronics,5/22/2020,2,-5,
13841,Store C,Electronics,9/8/2020,3,100,
73197,STORE_B,Groceries,2/24/2020,,10,500
65773,STORE_B,Electronics,31/12/2019,2,,
27776,store_a,Home,3/15/2019,2,20,200
81596,Store_A,Home,7/27/2020,,10,100
37584,STORE_B,Home,5/26/2019,5,10,100
14300,store_a,Home,2/15/2019,10,20,-50
13338,Store_B,Eletronics,2/2/2020,10,,100
72601,STORE_B,Clothing,6/2/2020,3,100,500
15487,Store_B,Clothing,1/9/2020,,20,100
46282,Store_A,Eletronics,5/1/2019,-2,20,500
86816,STORE_B,Clothing,2/12/2019,-2,20,500
38804,store_a,Home,4/9/2019,3,,-50
19915,Store C,Clothing,12/6/2020,5,20,100
21158,STORE_B,Electronics,11/7/2019,3,20,-50
84157,STORE_B,Clothing,21/05/2020,,50,
20547,STORE_B,Electronics,2/27/2020,,50,200
98713,STORE_B,Groceries,12/11/2020,1,50,100
12459,store_a,Electronics,9/2/2020,5,50,
38768,store_a,Electronics,9/29/2019,,20,
73146,Store C,Home,4/4/2019,,50,-50
60870,store_a,Home,30/01/2020,5,10,-50
60460,store_a,Home,7/29/2019,-2,100,200
92970,Store_A,Electronics,8/1/2019,2,50,200
70817,Store_A,Eletronics,3/3/2019,-2,,200
48247,Store_B,Home,11/11/2019,2,100,200
25419,Store C,Home,29/01/2019,1,-5,-50
45577,Store_A,Electronics,6/8/2019,-2,-5,500
12921,Store C,Groceries,10/1/2019,,10,-50
14676,Store C,Groceries,12/9/2019,5,100,500
95961,STORE_B,Clothing,23/11/2020,5,100,-50
59684,Store C,Groceries,11/29/2020,2,10,-50
23463,STORE_B,Home,11/3/2020,-2,-5,200
35474,Store_B,Eletronics,2/1/2020,10,50,500
50935,Store_B,Clothing,6/19/2020,10,10,
77005,Store_B,Eletronics,5/21/2019,,,
68596,STORE_B,Eletronics,18/08/2019,2,10,
82828,STORE_B,Home,8/28/2019,,20,200
99062,Store_B,Electronics,10/19/2019,3,-5,
65152,STORE_B,Electronics,27/03/2019,5,20,-50
99001,store_a,Electronics,3/23/2019,-2,-5,200
96569,store_a,Groceries,7/13/2020,-2,-5,
82467,STORE_B,Electronics,19/05/2019,,100,200
62576,STORE_B,Home,6/20/2019,1,50,-50
76627,Store_A,Groceries,3/9/2019,-2,50,200
35772,Store_A,Electronics,8/2/2020,10,-5,
26363,Store C,Eletronics,6/9/2020,,-5,200
38490,Store C,Home,6/25/2020,3,20,100
69004,Store C,Home,4/20/2019,5,,
63806,Store_B,Clothing,19/05/2020,-2,10,-50
10260,store_a,Home,31/12/2020,3,-5,500
85992,Store_B,Eletronics,11/18/2019,,-5,200
32320,STORE_B,Home,18/06/2019,5,10,200
88971,Store_A,Clothing,12/14/2020,5,10,
52145,STORE_B,Home,3/25/2019,2,,
73688,STORE_B,Home,13/08/2019,2,,100
58581,Store_A,Clothing,1/11/2020,1,10,-50
30754,STORE_B,Home,12/12/2019,1,-5,200
79837,Store C,Groceries,2/7/2020,-2,-5,200
17207,Store_A,Home,8/8/2020,3,10,500
37920,STORE_B,Electronics,27/05/2020,2,-5,200
97739,Store C,Electronics,4/10/2019,5,,200
97081,Store C,Groceries,5/9/2019,2,10,100
34016,store_a,Home,6/7/2019,5,,500
70522,Store C,Eletronics,8/7/2019,2,-5,200
84092,Store_B,Home,4/21/2020,5,-5,200
64068,Store_A,Electronics,1/22/2019,3,100,-50
30102,Store_A,Clothing,7/13/2020,2,20,200
11924,Store_A,Groceries,9/20/2020,10,20,100
95015,STORE_B,Clothing,15/10/2019,10,,200
64333,STORE_B,Eletronics,13/09/2020,5,10,200
94458,Store_B,Home,12/5/2019,3,20,
94196,Store C,Eletronics,6/28/2019,5,-5,200
56099,STORE_B,Clothing,2/25/2020,3,50,500
67346,Store C,Home,3/10/2019,1,10,
85481,Store C,Eletronics,2/18/2019,2,,500
60062,STORE_B,Electronics,5/2/2019,3,-5,500
10306,STORE_B,Electronics,1/30/2019,5,-5,100
98495,Store_B,Groceries,3/26/2019,-2,50,200
79767,store_a,Electronics,27/02/2019,-2,,500
22207,Store_A,Electronics,11/25/2019,1,10,200
49426,STORE_B,Clothing,9/1/2020,-2,-5,200
16336,STORE_B,Electronics,3/9/2020,5,100,100
85166,Store C,Electronics,8/10/2020,10,-5,100
27256,store_a,Clothing,25/06/2020,10,100,500
59817,STORE_B,Electronics,2/3/2020,2,100,500
43719,store_a,Electronics,11/20/2020,,10,
52017,Store_A,Groceries,19/10/2020,2,10,200
55704,Store C,Electronics,2/29/2020,-2,50,200
40013,Store_B,Electronics,8/12/2020,1,-5,100
89991,Store_A,Groceries,8/2/2019,-2,10,100
80258,store_a,Clothing,5/26/2020,10,10,500
88348,store_a,Electronics,8/11/2020,3,50,
46776,Store_A,Eletronics,11/11/2020,10,50,
20060,store_a,Clothing,8/10/2019,,-5,100
88592,Store_B,Clothing,7/17/2020,2,,100
16655,Store_B,Electronics,10/30/2019,5,20,
98110,store_a,Groceries,4/9/2019,-2,-5,
59923,store_a,Clothing,21/08/2020,1,20,500
88563,Store_B,Groceries,7/10/2020,,,
14030,store_a,Eletronics,2/11/2019,10,100,200
99779,STORE_B,Groceries,17/09/2019,3,-5,
43289,Store C,Home,4/12/2020,,10,-50
29739,STORE_B,Groceries,3/15/2020,3,50,
71687,store_a,Clothing,11/23/2019,3,-5,100
46491,store_a,Groceries,7/22/2020,1,50,100
82115,Store C,Groceries,2/2/2019,3,100,-50
93778,store_a,Home,2/16/2020,3,50,200
14781,Store C,Home,22/03/2019,10,100,
30448,Store_B,Electronics,11/2/2020,1,,
61550,Store C,Clothing,5/22/2020,5,100,-50
59294,Store C,Electronics,2/25/2019,5,20,500
31446,STORE_B,Home,6/10/2020,3,-5,500
86579,store_a,Groceries,13/09/2020,,100,200
95389,Store_B,Home,6/29/2020,2,-5,
95615,Store_A,Eletronics,16/07/2020,1,,
27101,Store C,Groceries,7/15/2019,-2,100,
76178,Store_A,Electronics,2/17/2020,2,,100
38016,store_a,Groceries,9/28/2020,1,20,500
28932,Store C,Eletronics,7/1/2020,1,10,-50
54653,Store_A,Home,11/1/2020,10,,100
62802,STORE_B,Clothing,11/1/2019,3,10,100
17549,Store_A,Clothing,5/17/2019,10,,500
88933,STORE_B,Clothing,6/22/2020,,100,
35362,Store_B,Home,11/19/2020,-2,10,200
57842,store_a,Clothing,12/19/2020,2,,-50
56539,Store_A,Eletronics,21/07/2019,2,-5,500
43717,Store C,Home,11/2/2019,5,,200
64596,store_a,Clothing,26/08/2020,,10,500
33016,Store_A,Electronics,1/23/2020,-2,-5,500
65200,Store C,Home,12/25/2020,,,500
90268,Store C,Home,3/7/2019,10,10,500
70287,Store C,Groceries,7/2/2020,10,20,
93402,Store C,Clothing,5/20/2020,,50,100
52607,Store_A,Electronics,1/23/2020,10,20,500
37621,Store_B,Eletronics,10/20/2019,5,10,200
22823,STORE_B,Home,6/28/2019,-2,100,200
39986,STORE_B,Eletronics,11/2/2020,-2,100,200
74325,STORE_B,Eletronics,22/12/2020,10,50,100
67771,Store_B,Eletronics,27/08/2020,10,10,100
64973,Store C,Groceries,3/21/2019,-2,-5,200
24690,Store C,Eletronics,3/11/2019,,,
49107,store_a,Clothing,13/12/2019,-2,20,100
67888,STORE_B,Clothing,3/22/2020,,-5,100
20956,STORE_B,Electronics,4/2/2019,10,20,
96839,Store C,Electronics,24/12/2019,10,50,500
66227,STORE_B,Eletronics,26/10/2020,,50,100
46533,Store C,Eletronics,5/17/2020,2,50,200
66234,Store C,Groceries,7/23/2020,3,-5,200
77594,Store C,Eletronics,4/6/2019,2,-5,
66901,Store_A,Eletronics,6/7/2020,10,50,200
21519,Store_A,Eletronics,8/7/2020,1,-5,-50
41115,Store_A,Home,9/5/2019,1,50,200
76266,Store_A,Home,5/7/2019,5,-5,
11832,Store_B,Groceries,5/13/2020,2,50,
51368,store_a,Groceries,2/15/2019,,,
98425,store_a,Clothing,8/9/2019,5,,-50
79715,Store C,Groceries,9/25/2019,5,20,100
81835,STORE_B,Clothing,4/4/2019,1,20,500
83366,Store_A,Eletronics,5/1/2019,2,50,200
47570,store_a,Groceries,31/08/2020,3,20,100
97977,store_a,Groceries,9/3/2020,-2,-5,
16615,Store_A,Groceries,3/12/2019,,50,100
82298,Store_B,Clothing,8/15/2020,2,,100
48311,Store_B,Clothing,3/24/2020,5,100,-50
33434,store_a,Electronics,21/10/2020,10,,
96879,Store_B,Clothing,9/11/2020,5,10,
25739,Store_A,Clothing,9/5/2020,2,,200
76202,store_a,Home,3/12/2020,1,10,200
89599,Store_A,Groceries,4/1/2019,-2,20,200
43649,Store_B,Clothing,26/05/2019,2,,200
57445,Store_A,Groceries,6/11/2020,3,100,100
49470,Store_B,Groceries,7/2/2020,,-5,100
84965,Store_B,Home,13/02/2019,,,200
58621,Store_A,Groceries,11/2/2020,10,-5,200
42926,Store_B,Clothing,3/2/2019,10,,200
47997,Store C,Groceries,17/01/2020,5,,500
69940,Store_A,Electronics,18/07/2020,2,-5,200
50724,Store C,Electronics,23/06/2020,,-5,500
41704,Store_A,Home,12/27/2019,1,50,200
38391,Store_B,Clothing,1/13/2020,3,,
73291,Store_B,Home,13/05/2020,5,,-50
99723,store_a,Electronics,12/11/2019,2,100,100
12526,store_a,Clothing,8/3/2019,1,-5,
34686,Store C,Groceries,3/30/2020,2,-5,-50
83339,Store_B,Clothing,26/06/2019,1,10,500
16574,store_a,Eletronics,3/8/2019,-2,10,100
18733,Store_B,Clothing,13/09/2019,2,-5,500
