EmployeeID,Name,Department,Gender,Age,Salary,PerformanceScore,JoinDate
2267,Emp_55,Sales,F,40,50000,Excellent,3/15/2017
3879,Emp_56,Finance,M,45,,G00d,3/15/2017
2528,Emp_57,Marketing,M,50,,Poor,1/1/2015
4202,Emp_58,HR,F,35,60000,Excellent,1/2/2016
4556,Emp_59,HR,male,25,-10000,Excellnt,3/15/2017
4890,Emp_60,Marketing,Female,999,60000,G00d,
1646,Emp_61,HR,Male,45,60000,G00d,3/15/2017
3068,Emp_62,HR,male,25,,Poor,3/15/2017
3888,Emp_63,HR,female,,60000,Excellnt,1/2/2016
3214,Emp_64,Sales,F,40,-10000,Poor,3/15/2017
2297,Emp_65,Sales,Male,45,60000,Average,1/1/2015
3435,Emp_66,Engineering,M,,-10000,Excellent,
1600,Emp_67,Finance,Female,45,60000,Average,1/2/2016
3363,Emp_68,Marketing,female,30,-10000,Excellent,
3061,Emp_69,Marketing,M,,60000,Good,1/1/2015
1241,Emp_70,Marketing,F,40,60000,G00d,1/1/2015
3041,Emp_71,Engineering,Male,40,50000,Poor,3/15/2017
3824,Emp_72,Sales,F,50,-10000,Good,3/15/2017
4417,Emp_73,Engineering,Male,45,-10000,Good,3/15/2017
3612,Emp_74,Marketing,male,999,-10000,G00d,
3945,Emp_75,Finance,Female,40,40000,G00d,1/1/2015
2363,Emp_76,HR,male,45,60000,Excellent,1/2/2016
3139,Emp_77,Sales,male,50,-10000,Average,3/15/2017
2390,Emp_78,Sales,F,999,40000,Excellnt,
4003,Emp_79,Engineering,Female,,50000,Excellent,3/15/2017
2478,Emp_80,Sales,Male,50,-10000,Excellnt,1/1/2015
4499,Emp_81,Marketing,Male,30,-10000,Good,1/2/2016
3556,Emp_82,Marketing,female,999,40000,Excellnt,1/1/2015
1775,Emp_83,Engineering,M,45,60000,Average,
1034,Emp_84,Marketing,female,40,50000,Excellent,3/15/2017
3253,Emp_85,Finance,female,40,-10000,G00d,1/1/2015
4152,Emp_86,Engineering,Male,45,60000,Average,
2955,Emp_87,Finance,F,45,50000,Average,3/15/2017
2585,Emp_88,HR,male,45,,Excellent,1/2/2016
4943,Emp_89,Finance,male,35,,G00d,1/1/2015
4459,Emp_90,HR,male,999,50000,Average,3/15/2017
4073,Emp_91,HR,Female,40,40000,G00d,3/15/2017
2021,Emp_92,Finance,Male,999,50000,Poor,3/15/2017
4461,Emp_93,Engineering,F,50,50000,Poor,3/15/2017
3613,Emp_94,Marketing,Female,40,40000,Poor,1/1/2015
2129,Emp_95,Marketing,M,35,40000,Excellnt,3/15/2017
4843,Emp_96,HR,F,45,60000,Average,
4893,Emp_97,HR,female,30,60000,Excellent,1/1/2015
2500,Emp_98,Engineering,F,45,40000,Excellent,3/15/2017
1702,Emp_99,Sales,F,,,Excellnt,1/1/2015
3449,Emp_100,Finance,male,45,,Excellent,
3777,Emp_101,HR,F,35,50000,Poor,
2579,Emp_102,Marketing,female,999,-10000,Average,1/1/2015
1161,Emp_103,Engineering,female,40,50000,Excellent,3/15/2017
1201,Emp_104,Finance,Male,45,50000,Excellent,3/15/2017
2981,Emp_105,Engineering,F,40,-10000,Good,
1995,Emp_106,Finance,male,25,40000,Good,3/15/2017
3317,Emp_107,Finance,F,50,,Good,
4934,Emp_108,HR,M,999,50000,Average,3/15/2017
1815,Emp_109,Engineering,M,40,-10000,Poor,
4342,Emp_110,Engineering,male,30,60000,G00d,1/2/2016
1455,Emp_111,Marketing,Male,50,50000,Poor,3/15/2017
4533,Emp_112,Marketing,Male,,,Poor,3/15/2017
4798,Emp_113,HR,female,,40000,Average,3/15/2017
2275,Emp_114,HR,female,30,50000,Average,1/1/2015
2016,Emp_115,Sales,Female,45,50000,Good,3/15/2017
4773,Emp_116,Marketing,male,50,-10000,Excellent,1/1/2015
3343,Emp_117,Finance,F,40,60000,Excellnt,1/1/2015
4796,Emp_118,Engineering,male,50,60000,Excellnt,
3767,Emp_119,HR,Female,45,40000,G00d,1/1/2015
4820,Emp_120,Engineering,female,35,,Excellent,1/1/2015
1337,Emp_121,Engineering,male,999,40000,G00d,1/2/2016
1878,Emp_122,Sales,male,30,50000,Good,3/15/2017
2076,Emp_123,Marketing,female,45,50000,G00d,1/1/2015
1791,Emp_124,HR,Female,35,60000,Excellent,3/15/2017
4993,Emp_125,Engineering,female,50,,Excellent,1/1/2015
3264,Emp_126,HR,Male,50,-10000,Excellnt,
1763,Emp_127,Finance,F,45,,Good,1/2/2016
3235,Emp_128,Sales,female,40,50000,Average,1/1/2015
1379,Emp_129,Finance,Female,50,-10000,G00d,3/15/2017
1492,Emp_130,HR,M,40,,Excellnt,
4112,Emp_131,HR,Male,40,,G00d,3/15/2017
2180,Emp_132,Marketing,M,999,-10000,G00d,
3062,Emp_133,Engineering,female,40,50000,Average,1/2/2016
4884,Emp_134,Engineering,Male,25,,Good,
1064,Emp_135,Finance,F,999,-10000,Excellent,3/15/2017
4928,Emp_136,Sales,female,35,50000,Poor,3/15/2017
4910,Emp_137,Engineering,F,35,-10000,G00d,1/1/2015
3568,Emp_138,Marketing,male,50,-10000,Poor,
2367,Emp_139,Finance,M,50,,Good,3/15/2017
2152,Emp_140,Finance,Male,40,50000,Poor,1/1/2015
3027,Emp_141,Marketing,F,999,,G00d,1/2/2016
3695,Emp_142,Sales,Female,999,40000,Average,3/15/2017
2495,Emp_143,Marketing,F,25,40000,Poor,1/1/2015
4134,Emp_144,Sales,Female,40,50000,Good,3/15/2017
2162,Emp_145,Marketing,female,25,-10000,Good,
2522,Emp_146,Marketing,Male,,,Average,1/1/2015
3640,Emp_147,HR,F,40,,Poor,
1391,Emp_148,Finance,F,30,50000,Poor,1/2/2016
2698,Emp_149,Marketing,Male,30,50000,Excellent,
1418,Emp_150,Marketing,F,45,40000,Excellnt,1/1/2015
3336,Emp_151,Engineering,Female,40,60000,Good,3/15/2017
1378,Emp_152,Finance,F,999,50000,Excellent,1/1/2015
2796,Emp_153,Engineering,M,50,60000,Good,
4561,Emp_154,Finance,female,35,50000,Excellent,
3278,Emp_155,Engineering,male,45,-10000,Excellnt,3/15/2017
4065,Emp_156,Marketing,Female,50,-10000,Excellent,1/2/2016
3088,Emp_157,Marketing,M,30,40000,Good,1/1/2015
4099,Emp_158,HR,female,40,40000,Poor,3/15/2017
3182,Emp_159,Engineering,Male,45,60000,Good,3/15/2017
1200,Emp_160,Sales,Female,40,50000,G00d,3/15/2017
2863,Emp_161,HR,male,30,,Average,1/1/2015
1779,Emp_162,Engineering,female,45,40000,Average,1/1/2015
3977,Emp_163,Engineering,male,30,,G00d,1/1/2015
4104,Emp_164,HR,Male,25,,Average,1/2/2016
4119,Emp_165,Marketing,Male,30,50000,Average,3/15/2017
1502,Emp_166,Engineering,Female,999,60000,Excellnt,
3454,Emp_167,Marketing,F,999,50000,Poor,
4645,Emp_168,HR,Male,40,40000,Poor,3/15/2017
2751,Emp_169,Marketing,female,35,,Good,
1804,Emp_170,Finance,F,30,50000,G00d,1/2/2016
3146,Emp_171,Sales,M,50,50000,Excellent,1/2/2016
3731,Emp_172,Engineering,male,999,50000,Good,1/1/2015
2895,Emp_173,Sales,F,,40000,Good,1/1/2015
3773,Emp_174,Marketing,male,35,60000,Good,1/1/2015
2570,Emp_175,Engineering,F,25,50000,Good,1/1/2015
1960,Emp_176,Marketing,M,45,40000,Poor,1/1/2015
4810,Emp_177,Finance,Male,45,,Excellent,
3660,Emp_178,HR,M,999,-10000,Good,
2485,Emp_179,Engineering,Male,35,40000,Poor,1/1/2015
3690,Emp_180,Finance,Male,999,-10000,Good,1/2/2016
4840,Emp_181,Finance,male,45,50000,Average,
2028,Emp_182,Engineering,female,,50000,Good,1/2/2016
4289,Emp_183,Marketing,M,30,40000,G00d,1/2/2016
1502,Emp_184,Finance,F,35,-10000,G00d,3/15/2017
3814,Emp_185,Sales,M,40,50000,Good,3/15/2017
1397,Emp_186,Finance,male,30,,Excellnt,1/1/2015
1870,Emp_187,Marketing,Male,30,60000,Average,1/2/2016
3842,Emp_188,Marketing,male,30,60000,Excellent,
1392,Emp_189,Sales,Female,40,50000,Good,3/15/2017
1206,Emp_190,Finance,Female,,-10000,Excellent,3/15/2017
2038,Emp_191,Marketing,F,25,50000,Average,1/2/2016
2881,Emp_192,Engineering,male,,-10000,Good,3/15/2017
4625,Emp_193,HR,F,,,Excellnt,3/15/2017
3939,Emp_194,HR,F,,-10000,Poor,
2484,Emp_195,HR,Female,50,50000,Excellnt,1/2/2016
4762,Emp_196,Finance,F,999,,Excellnt,3/15/2017
4646,Emp_197,Sales,Female,45,40000,Poor,1/2/2016
1863,Emp_198,Marketing,Male,999,60000,Poor,3/15/2017
3790,Emp_199,Engineering,male,35,50000,G00d,
4312,Emp_200,Engineering,F,,50000,Poor,1/2/2016
1563,Emp_201,Finance,Female,25,50000,Good,3/15/2017
2020,Emp_202,HR,M,35,,Excellent,
1095,Emp_203,Finance,F,999,40000,G00d,3/15/2017
2923,Emp_204,Sales,female,45,-10000,G00d,1/2/2016
2757,Emp_205,Sales,Male,40,40000,Excellent,3/15/2017
3532,Emp_206,Marketing,Male,999,,G00d,1/2/2016
4478,Emp_207,Marketing,M,30,50000,Poor,1/2/2016
3278,Emp_208,Sales,Female,999,60000,Excellnt,3/15/2017
3796,Emp_209,Sales,F,30,50000,Average,
2678,Emp_210,Sales,Female,40,-10000,Poor,1/1/2015
4242,Emp_211,Finance,Male,999,60000,Excellnt,
1540,Emp_212,Sales,Female,25,50000,Excellnt,
2059,Emp_213,Engineering,Male,25,60000,G00d,3/15/2017
3572,Emp_214,HR,Female,35,40000,Good,
2183,Emp_215,Sales,M,40,,Good,
4910,Emp_216,HR,male,,50000,G00d,1/1/2015
2722,Emp_217,Finance,M,25,-10000,G00d,
4314,Emp_218,HR,M,999,40000,Excellent,1/1/2015
4157,Emp_219,Finance,male,40,50000,Excellent,3/15/2017
2819,Emp_220,Engineering,male,45,40000,Average,1/1/2015
3625,Emp_221,Finance,F,30,-10000,Average,1/2/2016
3729,Emp_222,Finance,F,999,50000,Average,1/2/2016
3604,Emp_223,Marketing,M,30,-10000,Average,1/1/2015
2597,Emp_224,Sales,M,30,60000,Excellnt,1/2/2016
4060,Emp_225,Sales,Male,,-10000,Excellnt,3/15/2017
3693,Emp_226,Engineering,Male,40,60000,Excellent,1/2/2016
1795,Emp_227,Engineering,F,40,50000,Good,1/1/2015
2051,Emp_228,Sales,female,35,60000,G00d,3/15/2017
2643,Emp_229,Marketing,female,30,50000,Good,1/2/2016
4627,Emp_230,Sales,F,35,50000,Poor,3/15/2017
2363,Emp_231,Marketing,Male,,,Excellnt,1/1/2015
4869,Emp_232,Engineering,Male,30,50000,Average,1/2/2016
2981,Emp_233,HR,female,35,60000,Average,3/15/2017
2354,Emp_234,Engineering,Female,35,,Poor,3/15/2017
2663,Emp_235,Engineering,Female,45,,Good,1/2/2016
2529,Emp_236,Finance,Male,35,50000,Average,3/15/2017
3038,Emp_237,Finance,Female,40,-10000,Good,3/15/2017
4419,Emp_238,Finance,male,35,-10000,G00d,1/1/2015
2496,Emp_239,Finance,F,30,,Poor,1/1/2015
4302,Emp_240,Marketing,F,35,50000,Good,1/1/2015
3237,Emp_241,Sales,Male,25,-10000,G00d,1/1/2015
4296,Emp_242,HR,M,50,50000,Good,1/1/2015
2408,Emp_243,Engineering,female,30,50000,Good,1/1/2015
2400,Emp_244,Marketing,Male,25,,Average,1/2/2016
2306,Emp_245,HR,Female,,,Excellent,1/1/2015
3680,Emp_246,Marketing,female,30,40000,Excellnt,3/15/2017
3675,Emp_247,Marketing,M,40,-10000,Good,1/2/2016
1972,Emp_248,Engineering,Female,50,-10000,Good,3/15/2017
2768,Emp_249,Sales,male,50,-10000,Good,1/1/2015
2282,Emp_250,Finance,Female,40,60000,Excellent,1/1/2015
4430,Emp_251,Sales,male,50,50000,G00d,3/15/2017
1709,Emp_252,Engineering,female,40,,Poor,3/15/2017
2479,Emp_253,Engineering,male,25,-10000,Average,3/15/2017
2434,Emp_254,Engineering,female,,40000,Excellent,
1648,Emp_255,HR,female,45,-10000,G00d,
1317,Emp_256,Sales,female,30,50000,Good,
4748,Emp_257,Sales,female,40,50000,G00d,
4296,Emp_258,Marketing,female,30,,Excellent,1/2/2016
4890,Emp_259,Marketing,Female,,60000,Excellent,1/1/2015
2257,Emp_260,Marketing,female,25,,Excellent,3/15/2017
1683,Emp_261,Engineering,Female,45,-10000,Poor,1/1/2015
1663,Emp_262,Sales,female,,40000,Excellnt,3/15/2017
2998,Emp_263,Engineering,male,25,,Average,1/1/2015
4898,Emp_264,HR,female,50,60000,Poor,1/2/2016
4445,Emp_265,Marketing,M,30,,Poor,
4743,Emp_266,Engineering,female,999,50000,Excellnt,1/1/2015
2631,Emp_267,Engineering,female,45,-10000,Poor,3/15/2017
2495,Emp_268,HR,male,50,-10000,Excellent,1/1/2015
4304,Emp_269,Finance,F,,-10000,Excellent,1/2/2016
4763,Emp_270,Sales,male,45,-10000,G00d,1/2/2016
2136,Emp_271,Finance,M,50,-10000,Good,1/1/2015
2853,Emp_272,Marketing,F,25,-10000,Poor,
2520,Emp_273,Engineering,Male,40,40000,Good,3/15/2017
3489,Emp_274,HR,Male,30,60000,Average,1/2/2016
1563,Emp_275,HR,M,35,-10000,Excellent,1/2/2016
2291,Emp_276,Sales,male,35,60000,G00d,1/1/2015
4581,Emp_277,Finance,Female,25,-10000,Average,1/2/2016
4878,Emp_278,Sales,M,,,G00d,1/2/2016
4457,Emp_279,Engineering,F,30,-10000,Excellnt,3/15/2017
4458,Emp_280,Sales,F,,50000,Excellent,
4184,Emp_281,HR,female,30,40000,Average,3/15/2017
2636,Emp_282,HR,Male,25,,Excellnt,
4696,Emp_283,Marketing,F,30,,Average,3/15/2017
3999,Emp_284,Marketing,M,40,50000,G00d,1/1/2015
4152,Emp_285,Engineering,F,,-10000,Excellnt,1/2/2016
1698,Emp_286,Finance,M,25,40000,Excellnt,
3160,Emp_287,Sales,Female,40,,Excellent,1/1/2015
1001,Emp_288,Engineering,female,30,40000,Good,1/2/2016
1641,Emp_289,Marketing,Male,25,,G00d,1/2/2016
3267,Emp_290,Sales,F,30,-10000,G00d,1/2/2016
2589,Emp_291,Marketing,M,,,Excellnt,3/15/2017
1854,Emp_292,Sales,male,25,,Excellnt,1/1/2015
2759,Emp_293,Finance,Male,30,60000,Excellent,1/1/2015
4296,Emp_294,Engineering,Female,,-10000,Good,1/2/2016
3432,Emp_295,Sales,M,40,50000,G00d,
4474,Emp_296,HR,female,999,50000,Poor,1/1/2015
2661,Emp_297,HR,female,40,-10000,Poor,3/15/2017
2153,Emp_298,Sales,Female,30,50000,Good,
2076,Emp_299,Sales,Female,25,-10000,Average,
2707,Emp_300,Sales,female,35,50000,Excellent,
3777,Emp_301,HR,F,40,60000,Good,
2695,Emp_302,HR,F,40,50000,Poor,1/1/2015
2733,Emp_303,Sales,M,,,Excellnt,1/2/2016
2439,Emp_304,Marketing,male,50,-10000,Poor,
3294,Emp_305,Marketing,M,35,40000,Excellnt,3/15/2017
1835,Emp_306,Finance,male,30,40000,Excellent,3/15/2017
4510,Emp_307,Engineering,Female,999,-10000,Excellnt,1/2/2016
1202,Emp_308,Marketing,Male,25,60000,Good,1/1/2015
4255,Emp_309,HR,M,50,50000,Excellnt,1/2/2016
1122,Emp_310,Marketing,M,30,60000,Average,
1400,Emp_311,Finance,male,45,40000,Good,1/1/2015
1766,Emp_312,Finance,Female,999,-10000,Excellent,1/1/2015
1293,Emp_313,Engineering,Female,40,-10000,Good,
3327,Emp_314,Marketing,male,45,60000,Average,3/15/2017
4908,Emp_315,HR,Female,40,60000,Excellent,
3931,Emp_316,HR,female,40,50000,Poor,1/2/2016
4681,Emp_317,Sales,F,45,,Average,
1197,Emp_318,HR,female,999,,Excellent,3/15/2017
4029,Emp_319,Engineering,Male,,50000,Excellnt,
2930,Emp_320,Engineering,M,45,,Good,1/2/2016
4582,Emp_321,HR,Male,30,40000,Excellent,1/2/2016
3799,Emp_322,HR,M,50,,Good,3/15/2017
3191,Emp_323,Sales,F,50,50000,Excellnt,1/2/2016
1608,Emp_324,HR,Female,45,,Excellent,1/2/2016
4272,Emp_325,Sales,female,30,-10000,Poor,
2147,Emp_326,Sales,male,,60000,Average,1/1/2015
1186,Emp_327,HR,female,50,40000,Excellent,1/2/2016
4397,Emp_328,Finance,F,30,-10000,Excellnt,1/2/2016
3511,Emp_329,Finance,Male,,-10000,Excellent,3/15/2017
4420,Emp_330,Sales,male,30,50000,Good,3/15/2017
2794,Emp_331,HR,Female,40,60000,G00d,
1659,Emp_332,Finance,F,50,60000,Excellent,
3811,Emp_333,HR,male,,40000,Poor,1/2/2016
4002,Emp_334,HR,F,50,50000,Excellent,1/1/2015
2955,Emp_335,HR,F,40,40000,Average,1/1/2015
3450,Emp_336,Marketing,Female,45,,Excellent,
2369,Emp_337,HR,M,40,-10000,G00d,3/15/2017
2986,Emp_338,Marketing,male,50,40000,Good,1/2/2016
2534,Emp_339,Sales,Female,50,-10000,Excellent,1/2/2016
1146,Emp_340,Finance,F,999,50000,Poor,1/1/2015
4219,Emp_341,Finance,Female,,,Excellnt,
3911,Emp_342,Finance,M,45,50000,Excellent,1/1/2015
2734,Emp_343,Finance,female,40,,Excellent,1/1/2015
2843,Emp_344,Finance,male,,,Average,
1488,Emp_345,Finance,M,25,-10000,Poor,3/15/2017
3976,Emp_346,Finance,Male,,50000,G00d,1/2/2016
2959,Emp_347,Sales,male,25,50000,Excellnt,3/15/2017
2663,Emp_348,HR,M,45,40000,Good,
3598,Emp_349,Engineering,F,40,50000,Excellent,
3385,Emp_350,Marketing,male,40,40000,G00d,1/2/2016
3919,Emp_351,Engineering,male,30,60000,Excellnt,3/15/2017
1640,Emp_352,Engineering,Female,50,60000,Good,1/2/2016
2802,Emp_353,HR,F,35,60000,G00d,1/1/2015
3520,Emp_354,HR,Male,999,50000,Poor,1/1/2015
2969,Emp_355,HR,female,,50000,Poor,1/1/2015
3198,Emp_356,Finance,M,45,40000,Excellnt,3/15/2017
2438,Emp_357,Sales,Female,35,,Good,1/1/2015
4369,Emp_358,Finance,M,,40000,Poor,1/2/2016
2634,Emp_359,Sales,Male,35,60000,Excellnt,3/15/2017
1262,Emp_360,Sales,Male,45,40000,Poor,1/2/2016
2787,Emp_361,Engineering,male,40,,Poor,
3191,Emp_362,Engineering,Male,45,50000,G00d,3/15/2017
3393,Emp_363,Sales,M,,40000,G00d,1/2/2016
1623,Emp_364,Sales,F,35,60000,Poor,1/2/2016
2016,Emp_365,Finance,F,50,60000,Average,3/15/2017
4643,Emp_366,Finance,male,999,50000,G00d,
1880,Emp_367,Engineering,female,999,40000,Good,3/15/2017
3049,Emp_368,HR,M,50,,Excellnt,1/1/2015
3944,Emp_369,Sales,M,50,50000,Excellnt,1/1/2015
2327,Emp_370,Finance,Male,40,40000,Good,
3301,Emp_371,Engineering,M,,-10000,Good,1/2/2016
4723,Emp_372,Finance,Female,25,60000,Good,1/2/2016
1452,Emp_373,Sales,female,45,,Good,1/2/2016
4108,Emp_374,Sales,Male,999,,Excellent,3/15/2017
2183,Emp_375,Marketing,Female,50,,Excellnt,3/15/2017
4062,Emp_376,HR,male,45,60000,Excellent,
3056,Emp_377,Marketing,F,999,40000,Poor,1/1/2015
4304,Emp_378,Engineering,male,50,50000,Poor,1/2/2016
4170,Emp_379,Finance,F,,40000,Excellnt,1/1/2015
2682,Emp_380,Engineering,male,999,50000,Poor,3/15/2017
3863,Emp_381,Sales,M,40,,Good,3/15/2017
3255,Emp_382,Marketing,Female,25,40000,Excellent,3/15/2017
2154,Emp_383,Marketing,F,25,,Good,1/1/2015
1403,Emp_384,Marketing,Male,50,-10000,Poor,
3199,Emp_385,Engineering,Female,999,,G00d,
3101,Emp_386,Sales,Male,40,,Excellent,3/15/2017
4191,Emp_387,Finance,Female,30,50000,Good,1/2/2016
2696,Emp_388,Finance,Female,45,-10000,Excellnt,1/1/2015
4991,Emp_389,Engineering,male,45,,Good,3/15/2017
1627,Emp_390,Marketing,F,35,,G00d,1/1/2015
1586,Emp_391,HR,F,40,-10000,Poor,1/1/2015
2648,Emp_392,Engineering,Female,999,-10000,Excellent,
2443,Emp_393,Engineering,M,,40000,Excellnt,3/15/2017
2445,Emp_394,Sales,M,,50000,Excellent,
1103,Emp_395,Finance,Male,35,-10000,Excellnt,3/15/2017
4923,Emp_396,Engineering,Male,50,-10000,Excellent,1/1/2015
1253,Emp_397,Engineering,male,999,60000,Poor,
4298,Emp_398,Marketing,Female,35,-10000,Excellnt,1/1/2015
4183,Emp_399,Marketing,Male,25,50000,Average,3/15/2017
3557,Emp_400,HR,Male,45,,Excellent,1/2/2016
2496,Emp_401,Sales,female,999,,Excellent,
1098,Emp_402,HR,Female,35,,Good,
3200,Emp_403,Marketing,male,25,,Excellnt,1/1/2015
2884,Emp_404,Finance,Male,40,60000,G00d,1/1/2015
3961,Emp_405,Marketing,male,35,-10000,Average,1/2/2016
2919,Emp_406,Sales,F,50,,Poor,
1877,Emp_407,Marketing,male,50,40000,Good,3/15/2017
1337,Emp_408,Sales,M,50,,Average,3/15/2017
4777,Emp_409,Sales,M,999,-10000,Excellnt,
3869,Emp_410,Sales,male,,,Average,
4234,Emp_411,Sales,M,,60000,Excellent,
4791,Emp_412,Sales,F,45,50000,Excellent,1/2/2016
1956,Emp_413,Finance,Female,35,50000,Good,3/15/2017
2704,Emp_414,HR,M,40,-10000,Excellnt,3/15/2017
1160,Emp_415,Engineering,M,35,50000,Excellnt,1/1/2015
2603,Emp_416,HR,male,45,50000,Average,1/1/2015
3848,Emp_417,Sales,F,25,40000,Good,
1397,Emp_418,Finance,Female,45,-10000,Excellnt,1/1/2015
2300,Emp_419,Marketing,male,50,-10000,G00d,1/2/2016
1815,Emp_420,Finance,male,999,50000,G00d,3/15/2017
4987,Emp_421,Sales,female,25,50000,Excellent,3/15/2017
2527,Emp_422,Finance,F,999,50000,Average,1/1/2015
2919,Emp_423,Finance,Female,50,60000,Poor,
2415,Emp_424,Sales,F,30,,Excellent,1/1/2015
2158,Emp_425,Finance,Female,45,60000,Good,
2218,Emp_426,Engineering,F,45,-10000,Excellnt,1/2/2016
1400,Emp_427,Engineering,male,40,40000,Excellent,3/15/2017
1639,Emp_428,Finance,male,35,,Poor,1/2/2016
4104,Emp_429,Marketing,Male,25,40000,Poor,3/15/2017
3735,Emp_430,Sales,M,,-10000,G00d,1/2/2016
1459,Emp_431,Engineering,female,999,-10000,Good,1/1/2015
1954,Emp_432,Marketing,F,25,40000,Excellent,1/2/2016
4954,Emp_433,Finance,female,40,40000,Average,1/2/2016
1469,Emp_434,Marketing,Male,40,40000,Excellent,1/1/2015
4446,Emp_435,HR,M,999,-10000,G00d,3/15/2017
2045,Emp_436,Engineering,F,,50000,Poor,3/15/2017
3797,Emp_437,Finance,Female,35,40000,Good,1/1/2015
2693,Emp_438,Sales,M,999,,Good,1/2/2016
3085,Emp_439,Finance,male,999,-10000,Average,1/2/2016
3277,Emp_440,Sales,Male,50,60000,Good,1/2/2016
4436,Emp_441,Finance,M,,60000,G00d,
1562,Emp_442,Marketing,M,35,,G00d,3/15/2017
3485,Emp_443,Marketing,male,45,50000,G00d,1/2/2016
2799,Emp_444,Marketing,F,50,40000,Good,3/15/2017
4354,Emp_445,HR,Female,30,-10000,Good,1/2/2016
3074,Emp_446,Sales,male,,40000,G00d,1/1/2015
1225,Emp_447,Marketing,Female,35,-10000,Good,1/1/2015
4348,Emp_448,HR,F,40,60000,Good,3/15/2017
1797,Emp_449,Sales,M,50,40000,Poor,3/15/2017
4680,Emp_450,Finance,Female,35,,Excellent,1/1/2015
3331,Emp_451,HR,Male,25,50000,Excellnt,
3926,Emp_452,Engineering,Male,999,,Good,1/1/2015
1959,Emp_453,HR,male,30,50000,Excellnt,1/2/2016
2504,Emp_454,HR,F,45,40000,Excellnt,
1452,Emp_455,Sales,male,999,40000,Poor,1/1/2015
4067,Emp_456,Finance,male,25,50000,Good,
4900,Emp_457,Engineering,female,25,60000,G00d,
1815,Emp_458,Marketing,male,30,-10000,Excellnt,
1658,Emp_459,Marketing,female,45,,Good,3/15/2017
4587,Emp_460,HR,Male,40,,Average,1/1/2015
1546,Emp_461,Sales,Male,50,,G00d,3/15/2017
2215,Emp_462,Sales,male,,40000,Average,3/15/2017
4120,Emp_463,Marketing,Male,45,,Average,1/2/2016
